2023-07-06 07:07:705 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> id: product_attribute_1]
2023-07-06 07:07:883 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> css selector: #product_attribute_2]
2023-07-06 07:07:702 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:375 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> xpath: //h1]<br>
2023-07-06 07:07:428 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 07:07:172 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (338b3d8924375f21194c306abd8ac703)] -> id: termsofservice]
2023-07-06 07:07:202 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 07:07:187 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 07:07:248 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> id: product_attribute_1]
2023-07-06 07:07:387 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> css selector: #product_attribute_2]
2023-07-06 07:07:86 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:344 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> xpath: //h1]<br>
2023-07-06 07:07:397 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 07:07:168 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (a7157aa317559d4d41a38bce029fa34d)] -> id: termsofservice]
2023-07-06 07:07:734 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 07:07:93 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 07:07:158 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> id: product_attribute_1]
2023-07-06 07:07:341 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> css selector: #product_attribute_2]
2023-07-06 07:07:451 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:145 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> xpath: //h1]<br>
2023-07-06 07:07:195 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 07:07:77 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (c23557c516d8e6ca181789c9e93bacf8)] -> id: termsofservice]
2023-07-06 07:07:881 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 07:07:261 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 07:07:333 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> id: product_attribute_1]
2023-07-06 07:07:487 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> css selector: #product_attribute_2]
2023-07-06 07:07:253 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:935 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> xpath: //h1]<br>
2023-07-06 07:07:999 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 07:07:441 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (70711cba5cb85bdea060ad50ea3cf00e)] -> id: termsofservice]
2023-07-06 07:07:496 INFO  ComputerPage :250 - get item textProxy element for: DefaultElementLocator 'By.xpath: //div[@class='product-name']/h1'
2023-07-06 07:07:942 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 07:07:503 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (e77afeebd3febf00dd6dc7adff73a7ed)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 07:07:562 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (e77afeebd3febf00dd6dc7adff73a7ed)] -> id: product_attribute_1]
2023-07-06 07:07:683 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (e77afeebd3febf00dd6dc7adff73a7ed)] -> css selector: #product_attribute_2]
2023-07-06 07:07:122 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (e77afeebd3febf00dd6dc7adff73a7ed)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:210 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 07:07:537 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 07:07:593 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> id: product_attribute_1]
2023-07-06 07:07:729 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> css selector: #product_attribute_2]
2023-07-06 07:07:886 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 07:07:550 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> xpath: //h1]<br>
2023-07-06 07:07:638 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 07:07:736 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (9ac08be0a34b36fde0641b39e573cc42)] -> id: termsofservice]
2023-07-06 08:07:461 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 08:07:658 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 08:07:721 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> id: product_attribute_1]
2023-07-06 08:07:852 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> css selector: #product_attribute_2]
2023-07-06 08:07:988 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 08:07:675 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> xpath: //h1]<br>
2023-07-06 08:07:723 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 08:07:452 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (7840091579fe3975201ae6da9951edbf)] -> id: termsofservice]
2023-07-06 08:07:733 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 08:07:160 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 08:07:232 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: product_attribute_1]
2023-07-06 08:07:405 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> css selector: #product_attribute_2]
2023-07-06 08:07:270 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 08:07:988 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> xpath: //h1]<br>
2023-07-06 08:07:42 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 08:07:775 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: termsofservice]
2023-07-06 08:07:116 INFO  ComputerPage :347 - firstname [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: BillingNewAddress_FirstName]<br>
2023-07-06 08:07:261 INFO  ComputerPage :353 - lastname[[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: BillingNewAddress_LastName]<br>
2023-07-06 08:07:390 INFO  ComputerPage :358 - email [[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: BillingNewAddress_Email]<br>
2023-07-06 08:07:537 INFO  ComputerPage :363 - country[[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: BillingNewAddress_CountryId]<br>
2023-07-06 08:07:699 INFO  ComputerPage :363 - country[[ChromeDriver: chrome on WINDOWS (72e2e2442a28a567c00b666924eecc78)] -> id: BillingNewAddress_CountryId]<br>
2023-07-06 08:07:901 INFO  ManageBrowser :34 - launching chrome browser
2023-07-06 08:07:838 INFO  ComputerPage :250 - get item text[[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> xpath: //div[@class='product-name']/h1]
2023-07-06 08:07:910 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> id: product_attribute_1]
2023-07-06 08:07:66 INFO  ComputerPage :263 - item added msg [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> css selector: #product_attribute_2]
2023-07-06 08:07:942 INFO  ComputerPage :290 - item added msg [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> xpath: //p[contains(text(),'The product has been added to your ')]]
2023-07-06 08:07:744 INFO  ComputerPage :307 - shopping cart message [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> xpath: //h1]<br>
2023-07-06 08:07:847 INFO  ComputerPage :312 - change quantity [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> xpath: //input[@class='qty-input']]<br>
2023-07-06 08:07:111 INFO  ComputerPage :328 - click on terms[[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> id: termsofservice]
2023-07-06 08:07:640 INFO  ComputerPage :347 - firstname [[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> id: BillingNewAddress_FirstName]<br>
2023-07-06 08:07:786 INFO  ComputerPage :353 - lastname[[ChromeDriver: chrome on WINDOWS (a3298cdf73eda047401139003223c829)] -> id: BillingNewAddress_LastName]<br>
