2023-07-03 11:07:673 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (3f3eee1d554b541bf80a0ca6f89c7e85)] -> css selector: #current-question>button]
2023-07-03 11:07:887 INFO  ReasonForTravelPage :52 - Click on Reason for visit[[ChromeDriver: chrome on WINDOWS (3f3eee1d554b541bf80a0ca6f89c7e85)] -> css selector: input#response-0]
2023-07-03 11:07:935 INFO  ReasonForTravelPage :70 - Click on Continue button[[ChromeDriver: chrome on WINDOWS (3f3eee1d554b541bf80a0ca6f89c7e85)] -> css selector: button.gem-c-button--bottom-margin]
2023-07-03 11:07:170 INFO  ResultPage :37 - Actual Result message:[[ChromeDriver: chrome on WINDOWS (3f3eee1d554b541bf80a0ca6f89c7e85)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2023-07-03 12:07:390 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 12:07:792 INFO  StartPage :29 - click on cookies[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> xpath: //div[@class='js-confirmation-buttons govuk-button-group']/button[1]]
2023-07-03 12:07:885 INFO  StartPage :34 - Click on Start Button[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: .gem-c-button.govuk-button.govuk-button--start]
2023-07-03 12:07:75 INFO  SelectNationalityPage :31 - nationality Chile
2023-07-03 12:07:236 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: #current-question>button]
2023-07-03 12:07:543 INFO  ReasonForTravelPage :58 - Click on reason for visit1[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: input#response-1]
2023-07-03 12:07:586 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: #current-question>button]
2023-07-03 12:07:861 INFO  DurationOfStayPage :46 - Click on contiune button[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: button.gem-c-button.govuk-button.gem-c-button--bottom-margin]
2023-07-03 12:07:59 INFO  ReasonForTravelPage :58 - Click on reason for visit1[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: input#response-1]
2023-07-03 12:07:90 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (faa34e2b05ccb19a4cb3b698be9a342a)] -> css selector: #current-question>button]
2023-07-03 12:07:297 INFO  ResultPage :33 - Actual Result MessageProxy element for: DefaultElementLocator 'By.xpath: //h2[@class="gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6"]'
2023-07-03 13:07:421 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 13:07:919 INFO  StartPage :29 - click on cookies[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> xpath: //div[@class='js-confirmation-buttons govuk-button-group']/button[1]]
2023-07-03 13:07:972 INFO  StartPage :34 - Click on Start Button[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: .gem-c-button.govuk-button.govuk-button--start]
2023-07-03 13:07:221 INFO  SelectNationalityPage :31 - nationality Chile
2023-07-03 13:07:341 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: #current-question>button]
2023-07-03 13:07:631 INFO  ReasonForTravelPage :58 - Click on reason for visit1[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: input#response-1]
2023-07-03 13:07:671 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: #current-question>button]
2023-07-03 13:07:937 INFO  DurationOfStayPage :42 - Click on contiune button[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: button.gem-c-button.govuk-button.gem-c-button--bottom-margin]
2023-07-03 13:07:142 INFO  ReasonForTravelPage :58 - Click on reason for visit1[[ChromeDriver: chrome on WINDOWS (55c3a3d74091af68ebb1aaa610a97848)] -> css selector: input#response-1]
2023-07-03 13:07:443 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 13:07:822 INFO  StartPage :29 - click on cookies[[ChromeDriver: chrome on WINDOWS (c5f3c7fb34b131e1afe079eb4711e1ca)] -> xpath: //div[@class='js-confirmation-buttons govuk-button-group']/button[1]]
2023-07-03 13:07:875 INFO  StartPage :34 - Click on Start Button[[ChromeDriver: chrome on WINDOWS (c5f3c7fb34b131e1afe079eb4711e1ca)] -> css selector: .gem-c-button.govuk-button.govuk-button--start]
2023-07-03 13:07:132 INFO  SelectNationalityPage :31 - nationality Chile
2023-07-03 13:07:226 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (c5f3c7fb34b131e1afe079eb4711e1ca)] -> css selector: #current-question>button]
2023-07-03 13:07:432 INFO  ReasonForTravelPage :58 - Click on reason for visit1[[ChromeDriver: chrome on WINDOWS (c5f3c7fb34b131e1afe079eb4711e1ca)] -> css selector: input#response-1]
