2023-07-03 16:07:203 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> id: location]
2023-07-03 16:07:304 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> id: distance]
2023-07-03 16:07:383 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:425 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:526 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:599 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:678 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:757 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:695 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> css selector: h1.search-header__title]
2023-07-03 16:07:386 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:752 INFO  HomePage :55 - Job Title:Test Analyst
2023-07-03 16:07:896 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (b0e851cd19d7d6813d95f387595306e6)] -> id: location]
2023-07-03 16:07:05 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (b0e851cd19d7d6813d95f387595306e6)] -> id: distance]
2023-07-03 16:07:86 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (b0e851cd19d7d6813d95f387595306e6)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:146 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:248 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:330 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:396 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:484 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (b0e851cd19d7d6813d95f387595306e6)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:153 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (b0e851cd19d7d6813d95f387595306e6)] -> css selector: h1.search-header__title]
2023-07-03 16:07:855 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:252 INFO  HomePage :55 - Job Title:Qa Engineer
2023-07-03 16:07:401 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (c0a5a5246e9ae3f83a6adf5215a05bcb)] -> id: location]
2023-07-03 16:07:506 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (c0a5a5246e9ae3f83a6adf5215a05bcb)] -> id: distance]
2023-07-03 16:07:603 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (c0a5a5246e9ae3f83a6adf5215a05bcb)] -> css selector: div.hp-search-more>#toggle-hp-search]
